idx,Year,Player,Pos,School,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Height_inches,Probowl
61,2000.0,Frank Moreau,RB,Louisville,231.0,4.57,36.0,23.0,117.0,,,73.0,False
62,2000.0,Sammy Morris,FB,Texas Tech,221.0,4.65,37.5,23.0,117.0,7.05,4.21,72.0,False
63,2000.0,Tim Rattay,QB,Louisiana Tech,215.0,4.91,25.5,,100.0,7.34,4.21,72.0,False
64,2000.0,Greg Randall,OT,Michigan State,333.0,5.59,26.0,22.0,95.0,8.15,5.13,78.0,False
65,2000.0,Travis Prentice,RB,Miami (OH),225.0,4.5,37.0,23.0,115.0,6.92,4.4,72.0,False
66,2000.0,Jerry Porter,WR,West Virginia,221.0,4.48,,,,,,74.0,False
67,2000.0,Todd Pinkston,WR,Southern Miss,169.0,4.45,,,,,,74.0,False
68,2000.0,Mareno Philyaw,WR,Troy,205.0,4.66,39.5,,129.0,6.93,4.13,74.0,False
69,2000.0,Chad Pennington,QB,Marshall,229.0,4.81,33.5,,111.0,7.12,4.16,75.0,False
70,2000.0,Dennis Northcutt,WR,Arizona,175.0,4.43,37.5,,123.0,6.96,4.04,70.0,False
71,2000.0,Chad Morton,RB,Southern California,182.0,4.5,36.0,18.0,121.0,,,68.0,False
72,2000.0,Sylvester Morris,WR,Jackson State,216.0,4.6,34.5,,119.0,7.06,4.17,75.0,False
73,2000.0,Marcus Knight,WR,Michigan,180.0,4.72,28.5,,106.0,7.11,4.38,73.0,False
74,2000.0,Adrian Klemm,OT,Hawaii,307.0,4.98,,24.0,,,,76.0,False
75,2000.0,Erron Kinney,TE,Florida,272.0,4.9,,,,,,78.0,False
76,2000.0,Joe Hamilton,QB,Georgia Tech,192.0,4.81,,,106.0,,,70.0,False
77,2000.0,Troy Hambrick,RB,Savannah State,237.0,4.66,34.5,21.0,118.0,7.48,4.44,72.0,False
78,2000.0,Mike Green,FB,Houston,253.0,4.78,28.5,25.0,108.0,7.08,4.34,72.0,False
79,2000.0,Trevor Gaylor,WR,Miami (OH),199.0,4.56,37.5,,121.0,7.03,4.29,75.0,False
80,2000.0,Mondriel Fulcher,FB,Miami (FL),253.0,4.85,27.0,18.0,116.0,7.46,4.52,75.0,False
81,2000.0,Bubba Franks,TE,Miami (FL),265.0,4.85,,,,,,78.0,True
82,2000.0,Larry Foster,WR,LSU,198.0,4.55,37.0,,121.0,6.88,4.06,70.0,False
83,2000.0,Zeron Flemister,TE,Iowa,249.0,4.72,37.0,14.0,116.0,6.92,4.16,76.0,False
84,2000.0,Curtis Keaton,RB,James Madison,214.0,4.41,41.5,23.0,131.0,6.82,3.93,70.0,False
85,2000.0,Thomas Jones,RB,Virginia,216.0,4.45,,,,,,70.0,True
86,2000.0,John Jones,TE,Indiana (PA),248.0,4.63,38.5,13.0,125.0,7.33,4.43,76.0,False
87,2000.0,Doug Johnson,QB,Florida,226.0,4.95,29.5,,96.0,,,74.0,False
88,2000.0,Ronney Jenkins,RB,Northern Arizona,184.0,4.5,,18.0,118.0,,,70.0,False
89,2000.0,Marlion Jackson,RB,Saginaw Valley State,242.0,4.6,35.5,24.0,125.0,7.15,4.14,73.0,False
90,2000.0,Jarious Jackson,QB,Notre Dame,226.0,4.68,,,109.0,,,72.0,False
91,2000.0,Darrell Jackson,WR,Florida,197.0,4.56,,,,,,72.0,False
92,2000.0,Trevor Insley,WR,Nevada,192.0,4.7,,,,,,72.0,False
93,2000.0,Todd Husak,QB,Stanford,216.0,5.2,27.5,,99.0,7.17,4.41,75.0,False
94,2000.0,Windrell Hayes,WR,Southern California,204.0,4.5,,,,7.33,4.18,71.0,False
95,2000.0,Renard Cox,CB,Maryland,192.0,4.68,38.0,13.0,111.0,7.1,,71.0,False
96,2000.0,Matt Bowen,SS,Iowa,201.0,4.49,33.0,12.0,115.0,7.06,4.09,73.0,False
97,2000.0,Marcus Bell,ILB,Arizona,237.0,4.78,31.5,21.0,111.0,7.17,4.33,74.0,False
98,2000.0,Robert Bean,CB,Mississippi State,178.0,4.5,34.5,,122.0,6.87,4.2,71.0,False
99,2000.0,William Bartee,CB,Oklahoma,192.0,4.43,38.5,,124.0,6.7,3.99,73.0,False
100,2000.0,David Barrett,CB,Arkansas,199.0,4.44,37.5,16.0,116.0,6.81,4.04,70.0,False
101,2000.0,Reggie Austin,CB,Wake Forest,175.0,4.44,35.0,17.0,119.0,7.03,4.14,69.0,False
102,2000.0,Corey Atkins,OLB,South Carolina,237.0,4.72,31.0,21.0,112.0,7.96,4.39,72.0,False
103,2000.0,LaVar Arrington,OLB,Penn State,250.0,4.53,,,,,,75.0,True
104,2000.0,Rashard Anderson,CB,Jackson State,206.0,4.55,34.0,,123.0,7.18,4.15,74.0,False
105,2000.0,John Abraham,OLB,South Carolina,252.0,4.55,,,,,,76.0,True
106,2000.0,Courtney Brown,DE,Penn State,269.0,4.78,,,,,,77.0,False
107,2000.0,Chris Combs,DT,Duke,286.0,5.16,,22.0,,,,77.0,False
108,2000.0,Danny Clark,ILB,Illinois,245.0,4.75,,20.0,,,,74.0,False
109,2000.0,Kendrick Clancy,DT,Mississippi,283.0,5.25,27.5,25.0,108.0,7.98,4.65,73.0,False
110,2000.0,Ike Charlton,CB,Virginia Tech,205.0,4.47,,16.0,126.0,,,71.0,False
111,2000.0,Tyrone Carter,SS,Minnesota,190.0,4.5,41.0,16.0,121.0,6.75,4.19,68.0,False
112,2000.0,Leonardo Carson,DE,Auburn,283.0,5.06,28.0,22.0,106.0,7.82,4.75,73.0,False
113,2000.0,Keith Bulluck,OLB,Syracuse,244.0,4.47,38.0,,119.0,7.33,4.13,75.0,True
114,2000.0,Lamont Bryant,DE,Notre Dame,260.0,4.91,,17.0,,,,75.0,False
115,2000.0,Ralph Brown,CB,Nebraska,185.0,4.55,,10.0,,,,70.0,False
