idx,Year,Player,Pos,School,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Height_inches,Probowl
852,2004.0,Jamaar Taylor,WR,Texas A&M,197.0,4.46,,,,,,73.0,False
853,2004.0,Sloan Thomas,WR,Texas,203.0,4.5,,,,,,73.0,False
854,2004.0,Andrae Thurman,WR,Southern Oregon,192.0,4.54,34.5,,121.0,7.31,4.3,71.0,False
855,2004.0,Ben Troupe,TE,Florida,265.0,4.65,,,,,,76.0,False
856,2004.0,Michael Turner,RB,Northern Illinois,237.0,4.49,31.0,22.0,114.0,7.5,4.15,70.0,True
857,2004.0,Ben Utecht,TE,Minnesota,249.0,4.8,,,,,,78.0,False
858,2004.0,Bradlee Van Pelt,QB,Colorado State,231.0,4.98,33.5,,115.0,6.89,4.11,74.0,False
859,2004.0,Benjamin Watson,TE,Georgia,258.0,4.5,35.5,34.0,123.0,7.38,4.11,75.0,False
861,2004.0,Kevin Youngblood,WR,Clemson,213.0,4.64,34.0,,,,,76.0,False
862,2004.0,Samie Parker,WR,Oregon,179.0,4.39,36.0,,,,,70.0,False
863,2004.0,Shane Olivea,OT,Ohio State,302.0,5.29,29.0,,92.0,8.25,4.71,75.0,False
864,2004.0,John Navarre,QB,Michigan,246.0,5.19,26.5,,100.0,7.73,4.46,78.0,False
865,2004.0,Johnnie Morant,WR,Syracuse,229.0,4.51,41.0,,130.0,7.34,4.22,76.0,False
866,2004.0,Mewelde Moore,RB,Tulane,209.0,4.65,35.0,,118.0,7.05,4.12,71.0,False
867,2004.0,Clarence Moore,WR,Northern Arizona,211.0,4.55,34.0,,122.0,6.84,4.16,78.0,False
868,2004.0,Jim Molinaro,OT,Notre Dame,308.0,5.09,29.5,21.0,105.0,7.75,4.6,78.0,False
869,2004.0,Sean McHugh,TE,Penn State,264.0,4.92,29.0,18.0,115.0,7.36,4.09,77.0,False
870,2004.0,Dylan McFarland,OT,Montana,304.0,5.26,27.5,31.0,98.0,,,78.0,False
871,2004.0,Luke McCown,QB,Louisiana Tech,208.0,4.71,37.5,,125.0,6.74,4.21,76.0,False
872,2004.0,Matt Mauck,QB,LSU,228.0,4.79,,,,,,74.0,False
873,2004.0,Jarrett Payton,RB,Miami (FL),220.0,4.66,31.0,,115.0,7.34,4.31,72.0,False
874,2004.0,Jake Scott,OT,Idaho,281.0,5.06,34.5,24.0,110.0,7.96,4.68,77.0,False
875,2004.0,Matt Schaub,QB,Virginia,243.0,5.04,30.5,,110.0,7.65,4.62,78.0,True
876,2004.0,P.K. Sam,WR,Florida State,210.0,4.54,34.5,,,7.04,,75.0,False
877,2004.0,Sean Ryan,TE,Boston College,268.0,4.97,32.5,22.0,115.0,,,76.0,False
878,2004.0,Jacob Rogers,OT,Southern California,307.0,5.3,,30.0,,,,78.0,False
879,2004.0,Ben Roethlisberger,QB,Miami (OH),241.0,4.75,,,,,,77.0,True
880,2004.0,Philip Rivers,QB,North Carolina State,229.0,5.08,,,,,,77.0,True
881,2004.0,Brian Rimpf,OT,East Carolina,319.0,5.41,28.0,31.0,105.0,7.97,4.66,78.0,False
882,2004.0,Lousaka Polite,FB,Pittsburgh,246.0,4.68,32.0,28.0,117.0,7.45,4.18,72.0,False
883,2004.0,Brett Pierce,TE,Stanford,250.0,4.95,27.0,19.0,103.0,7.13,4.37,77.0,False
884,2004.0,Cody Pickett,QB,Washington,233.0,4.79,30.5,,109.0,7.19,4.3,75.0,False
885,2004.0,Jason Peters,TE,Arkansas,336.0,4.93,29.0,21.0,115.0,7.7,4.75,76.0,True
886,2004.0,Chris Perry,RB,Michigan,224.0,4.56,,19.0,,,,72.0,False
887,2004.0,Eli Manning,QB,Mississippi,221.0,4.9,,,,,,77.0,True
888,2004.0,Maurice Mann,WR,Nevada,191.0,4.57,34.0,,118.0,,,73.0,False
889,2004.0,Justin Jenkins,WR,Mississippi State,213.0,4.6,35.0,,123.0,7.47,4.16,71.0,False
890,2004.0,Steven Jackson,RB,Oregon State,241.0,4.55,,,,,,73.0,True
891,2004.0,Devery Henderson,WR,LSU,198.0,4.41,,,,,,71.0,False
892,2004.0,Ben Hartsock,TE,Ohio State,263.0,4.8,35.0,23.0,117.0,7.1,3.98,76.0,False
893,2004.0,Nick Hardwick,C,Purdue,295.0,5.2,34.0,27.0,108.0,7.72,4.55,75.0,True
894,2004.0,Derrick Hamilton,WR,Clemson,196.0,4.54,,,,,,75.0,False
895,2004.0,Rex Hadnot,C,Houston,323.0,5.5,24.5,27.0,91.0,7.94,4.66,74.0,False
896,2004.0,D.J. Hackett,WR,Colorado,199.0,4.53,41.0,,131.0,6.79,4.08,74.0,False
897,2004.0,Jake Grove,C,Virginia Tech,303.0,5.16,,31.0,,,,75.0,False
898,2004.0,Ronnie Ghent,TE,Louisville,248.0,5.02,27.5,11.0,103.0,7.47,4.5,74.0,False
899,2004.0,Robert Gallery,OT,Iowa,323.0,4.98,30.0,24.0,105.0,7.42,4.38,79.0,False
900,2004.0,Michael Gaines,TE,Central Florida,275.0,5.06,33.0,18.0,109.0,7.44,4.18,74.0,False
901,2004.0,Carlos Francis,WR,Texas Tech,198.0,4.33,38.5,,114.0,6.97,4.06,69.0,False
902,2004.0,Troy Fleming,FB,Tennessee,230.0,4.62,32.0,,120.0,6.94,3.91,72.0,False
903,2004.0,Michael Jenkins,WR,Ohio State,218.0,4.4,,,,,,76.0,False
904,2004.0,Triandos Luke,WR,Alabama,199.0,4.51,38.0,,124.0,7.06,4.17,71.0,False
905,2004.0,J.P. Losman,QB,Tulane,224.0,4.73,33.0,,116.0,,,74.0,False
906,2004.0,Jared Lorenzen,QB,Kentucky,288.0,5.28,,,,,,75.0,False
907,2004.0,Brad Lekkerkerker,OT,California-Davis,317.0,5.36,27.5,23.0,102.0,7.94,4.71,79.0,False
908,2004.0,Nick Leckey,C,Kansas State,290.0,5.26,27.0,18.0,97.0,7.71,4.47,75.0,False
909,2004.0,Craig Krenzel,QB,Ohio State,228.0,4.84,28.0,,112.0,7.22,4.08,75.0,False
910,2004.0,Ryan Krause,WR,Nebraska-Omaha,244.0,4.6,33.5,18.0,119.0,6.78,4.16,74.0,False
912,2004.0,Kelvin Kight,WR,Florida,213.0,4.56,34.0,,109.0,7.18,4.24,72.0,False
913,2004.0,Mike Karney,FB,Arizona State,254.0,5.02,30.0,25.0,103.0,,,71.0,False
914,2004.0,Kevin Jones,RB,Virginia Tech,227.0,4.38,38.0,,120.0,,,72.0,False
915,2004.0,Julius Jones,RB,Notre Dame,217.0,4.47,37.5,,121.0,6.97,4.12,70.0,False
916,2004.0,Greg Jones,RB,Florida State,249.0,4.55,,,,,,73.0,False
917,2004.0,Adrian Jones,OT,Kansas,296.0,4.97,31.0,27.0,114.0,7.81,4.58,76.0,False
918,2004.0,Larry Fitzgerald,WR,Pittsburgh,225.0,4.48,,,,,,75.0,True
919,2004.0,Karlos Dansby,OLB,Auburn,251.0,4.58,,,,,,75.0,False
920,2004.0,Ryan Boschetti,DT,UCLA,306.0,5.06,29.5,,110.0,7.41,4.27,76.0,False
921,2004.0,Colby Bockwoldt,OLB,BYU,230.0,4.6,34.0,14.0,112.0,7.12,4.05,74.0,False
922,2004.0,Ryon Bingham,DT,Nebraska,303.0,5.09,30.0,33.0,109.0,7.44,4.38,75.0,False
923,2004.0,Dave Ball,DE,UCLA,277.0,5.07,,24.0,,,,77.0,False
924,2004.0,Jason Babin,DE,Western Michigan,260.0,4.62,34.0,28.0,121.0,7.03,4.14,75.0,True
925,2004.0,Matthias Askew,DT,Michigan State,308.0,5.2,27.0,20.0,101.0,7.55,4.42,77.0,False
926,2004.0,Tim Anderson,DT,Ohio State,307.0,5.01,,,,,,75.0,False
927,2004.0,Jared Allen,DE,Idaho State,265.0,4.72,33.0,13.0,120.0,7.11,4.34,78.0,True
928,2004.0,Roc Alexander,CB,Washington,185.0,4.35,39.5,,125.0,6.97,4.23,71.0,False
929,2004.0,Junior Siavii,DT,Oregon,344.0,5.16,24.5,31.0,93.0,7.93,4.84,76.0,False
930,2004.0,Antonio Smith,DE,Oklahoma State,274.0,5.03,33.0,24.0,108.0,,4.75,75.0,True
931,2004.0,Daryl Smith,OLB,Georgia Tech,234.0,4.67,,24.0,,,,74.0,False
932,2004.0,Michael Boulware,OLB,Florida State,225.0,4.5,,,,6.89,3.92,74.0,False
933,2004.0,Jon Bradley,DT,Arkansas State,306.0,5.09,26.5,19.0,104.0,7.88,4.85,73.0,False
934,2004.0,Jorge Cordova,ILB,Nevada,241.0,4.65,35.5,22.0,,7.25,4.16,73.0,False
935,2004.0,Marquis Cooper,OLB,Washington,223.0,4.55,36.5,25.0,121.0,7.02,4.12,75.0,False
936,2004.0,Ricardo Colclough,CB,Tusculum,194.0,4.49,39.5,8.0,127.0,,,71.0,False
937,2004.0,Jared Clauss,DT,Iowa,294.0,4.95,,23.0,,,,77.0,False
938,2004.0,Brandon Chillar,OLB,UCLA,253.0,4.71,33.0,23.0,115.0,,4.08,75.0,False
939,2004.0,Jordan Carstens,DT,Iowa State,305.0,5.0,28.5,28.0,106.0,8.35,4.8,77.0,False
940,2004.0,Ahmad Carroll,CB,Arkansas,195.0,4.34,41.0,15.0,128.0,,,70.0,False
941,2004.0,Tony Bua,SS,Arkansas,209.0,4.67,36.0,15.0,120.0,6.75,4.08,71.0,False
942,2004.0,Rufus Brown,CB,Florida State,187.0,4.43,33.0,15.0,124.0,7.24,4.44,69.0,False
943,2004.0,Greg Brooks,CB,Southern Miss,177.0,4.45,,,,,,71.0,False
944,2004.0,Keith Smith,CB,McNeese State,201.0,4.48,36.5,12.0,116.0,,,71.0,False
945,2004.0,Will Smith,DE,Ohio State,275.0,4.6,,,,,,75.0,True
946,2004.0,Kenechi Udeze,DE,Southern California,281.0,4.77,,,,,,75.0,False
947,2004.0,Nathan Vasher,CB,Texas,177.0,4.49,,,,,,70.0,True
948,2004.0,Khaleed Vaughn,DE,Clemson,281.0,5.0,31.5,14.0,113.0,7.38,4.35,76.0,False
949,2004.0,Jonathan Vilma,ILB,Miami (FL),233.0,4.61,,,,,,72.0,True
950,2004.0,Michael Waddell,CB,North Carolina,187.0,4.31,37.5,14.0,121.0,6.84,4.03,71.0,False
951,2004.0,Courtney Watson,OLB,Notre Dame,237.0,4.56,36.5,22.0,114.0,7.39,4.35,73.0,False
952,2004.0,Vince Wilfork,DT,Miami (FL),323.0,5.08,,36.0,,,,73.0,True
953,2004.0,Corey Williams,DT,Arkansas State,313.0,5.18,28.0,25.0,106.0,7.97,4.55,76.0,False
954,2004.0,D.J. Williams,OLB,Miami (FL),250.0,4.55,,,,,,73.0,False
955,2004.0,Demorrio Williams,OLB,Nebraska,232.0,4.52,37.0,16.0,125.0,7.02,4.11,73.0,False
956,2004.0,Gibril Wilson,SS,Tennessee,197.0,4.47,,15.0,120.0,,,72.0,False
957,2004.0,Sean Tufts,OLB,Colorado,242.0,4.61,34.5,21.0,118.0,6.94,3.94,76.0,False
958,2004.0,Marcus Tubbs,DT,Texas,321.0,5.05,32.5,29.0,105.0,,,76.0,False
959,2004.0,Isaac Sopoaga,DT,Hawaii,317.0,4.97,30.5,42.0,99.0,7.79,4.66,74.0,False
960,2004.0,Cody Spencer,ILB,North Texas,242.0,4.65,34.5,27.0,116.0,6.94,4.08,74.0,False
961,2004.0,Randy Starks,DT,Maryland,314.0,5.08,29.5,27.0,102.0,,,75.0,True
962,2004.0,Larry Stevens,DE,Michigan,241.0,4.86,,,,,,74.0,False
963,2004.0,Derrick Strait,CB,Oklahoma,196.0,4.52,,,,,,71.0,False
964,2004.0,Billy Strother,OLB,New Mexico,241.0,4.68,33.0,,112.0,7.41,4.15,72.0,False
965,2004.0,Craig Terrill,DT,Purdue,290.0,5.21,26.5,28.0,100.0,7.39,4.1,74.0,False
966,2004.0,Dontarrious Thomas,OLB,Auburn,241.0,4.57,38.5,26.0,129.0,,4.0,74.0,False
967,2004.0,Joey Thomas,CB,Montana State,195.0,4.44,38.5,17.0,122.0,6.82,3.88,73.0,False
968,2004.0,Chris Thompson,CB,Nicholls State,189.0,4.5,35.0,12.0,117.0,7.09,4.14,72.0,False
970,2004.0,Bruce Thornton,CB,Georgia,197.0,4.5,37.5,,122.0,,,70.0,False
971,2004.0,Reggie Torbor,DE,Auburn,254.0,4.65,34.0,16.0,120.0,7.48,4.46,74.0,False
972,2004.0,Dexter Wynn,CB,Colorado State,175.0,4.49,39.0,13.0,123.0,6.7,3.9,69.0,False
973,2004.0,Rod Davis,ILB,Southern Miss,239.0,4.76,,,114.0,7.2,4.02,74.0,False
974,2004.0,Jeff Shoate,CB,San Diego State,189.0,4.62,36.0,12.0,121.0,7.0,3.88,70.0,False
975,2004.0,Igor Olshansky,DT,Oregon,315.0,4.96,33.5,41.0,110.0,7.61,4.41,77.0,False
976,2004.0,Antwan Odom,DE,Alabama,274.0,4.71,37.0,21.0,114.0,7.3,4.44,78.0,False
977,2004.0,Caleb Miller,ILB,Arkansas,224.0,4.66,34.5,23.0,120.0,6.85,3.93,75.0,False
978,2004.0,Bobby McCray,DE,Florida,255.0,4.62,33.5,27.0,,,,78.0,False
979,2004.0,Alex Lewis,OLB,Wisconsin,227.0,4.78,34.5,25.0,121.0,7.06,4.28,72.0,False
980,2004.0,Jeremy LeSueur,CB,Michigan,197.0,4.53,35.0,,116.0,,,72.0,False
981,2004.0,Rodney Leisle,DT,UCLA,309.0,5.15,,31.0,,,,75.0,False
982,2004.0,Teddy Lehman,OLB,Oklahoma,240.0,4.55,34.5,26.0,113.0,6.91,4.06,73.0,False
983,2004.0,Chad Lavalais,DT,LSU,303.0,5.09,,,,,,73.0,False
984,2004.0,Travis Laboy,DE,Hawaii,263.0,4.69,35.5,35.0,126.0,7.01,4.07,75.0,False
985,2004.0,Shaun Phillips,DE,Purdue,255.0,4.78,33.0,,114.0,6.95,4.23,75.0,True
986,2004.0,Will Poole,CB,Southern California,194.0,4.47,,16.0,,,,70.0,False
987,2004.0,Richard Seigler,ILB,Oregon State,244.0,4.86,,25.0,,,,74.0,False
988,2004.0,Guss Scott,SS,Florida,204.0,4.46,39.0,20.0,124.0,,,70.0,False
989,2004.0,Darrion Scott,DE,Ohio State,289.0,4.81,36.5,,118.0,,4.32,75.0,False
990,2004.0,Bo Schobel,DE,TCU,271.0,4.8,32.5,25.0,109.0,6.94,4.38,77.0,False
991,2004.0,Bob Sanders,SS,Iowa,204.0,4.35,41.5,15.0,128.0,6.7,3.91,68.0,True
992,2004.0,Dunta Robinson,CB,South Carolina,186.0,4.34,36.0,15.0,120.0,6.97,3.75,71.0,False
993,2004.0,Constantin Ritzmann,DE,Tennessee,259.0,4.97,29.0,24.0,108.0,7.39,4.48,75.0,False
994,2004.0,Robert Reynolds,ILB,Ohio State,251.0,4.76,32.5,18.0,116.0,7.17,3.94,75.0,False
995,2004.0,Keiwan Ratliff,CB,Florida,194.0,4.56,,11.0,,,,70.0,False
996,2004.0,Kendyll Pope,OLB,Florida State,226.0,4.7,,,118.0,,4.26,73.0,False
997,2004.0,Derrick Pope,OLB,Alabama,230.0,4.71,,24.0,106.0,,,71.0,False
998,2004.0,Niko Koutouvides,ILB,Purdue,244.0,4.71,30.5,,108.0,6.98,3.88,74.0,False
999,2004.0,Tommy Kelly,DE,Mississippi State,294.0,4.87,25.0,24.0,105.0,7.79,4.45,78.0,False
1000,2004.0,DeAngelo Hall,CB,Virginia Tech,202.0,4.34,,,,,,70.0,True
1001,2004.0,Jabari Greer,CB,Tennessee,178.0,4.5,36.5,7.0,126.0,,,70.0,False
1002,2004.0,Roderick Green,DE,Central Missouri,245.0,4.7,34.5,21.0,129.0,7.26,4.04,74.0,False
1003,2004.0,Robert Geathers,DE,Georgia,271.0,4.84,33.5,24.0,112.0,,,75.0,False
1004,2004.0,Rich Gardner,CB,Penn State,199.0,4.46,36.5,11.0,123.0,6.91,3.91,71.0,False
1005,2004.0,Gilbert Gardner,OLB,Purdue,229.0,4.65,,,,,,73.0,False
1006,2004.0,Chris Gamble,CB,Ohio State,198.0,4.52,,,,,,73.0,False
1007,2004.0,Keyaron Fox,OLB,Georgia Tech,227.0,4.65,,28.0,,,,74.0,False
1008,2004.0,Ryan Fowler,ILB,Duke,250.0,4.8,37.5,35.0,118.0,7.19,4.19,75.0,False
1009,2004.0,Dwan Edwards,DT,Oregon State,313.0,5.12,28.0,25.0,105.0,7.59,4.68,75.0,False
1010,2004.0,Glenn Earl,SS,Notre Dame,222.0,4.65,,20.0,,,,73.0,False
1011,2004.0,Darnell Dockett,DT,Florida State,297.0,5.0,31.0,26.0,105.0,,,75.0,True
1012,2004.0,Trevor Johnson,DE,Nebraska,260.0,4.8,35.5,23.0,110.0,7.06,4.08,77.0,False
1013,2004.0,Tank Johnson,DT,Washington,304.0,4.69,34.0,31.0,114.0,7.56,4.6,75.0,False
1014,2004.0,Spencer Johnson,DT,Auburn,286.0,5.06,30.0,19.0,111.0,7.78,4.53,75.0,False
1015,2004.0,Landon Johnson,OLB,Purdue,227.0,4.65,37.5,20.0,120.0,7.0,4.08,74.0,False
1016,2004.0,Leon Joe,OLB,Maryland,230.0,4.49,39.0,30.0,,,,72.0,False
1017,2004.0,Von Hutchins,CB,Mississippi,185.0,4.46,34.5,11.0,115.0,7.05,4.06,70.0,False
1018,2004.0,T.J. Hollowell,OLB,Nebraska,235.0,4.64,33.5,,117.0,7.14,4.09,72.0,False
1019,2004.0,Marquise Hill,DE,LSU,305.0,5.12,29.0,23.0,106.0,,,79.0,False
1021,2004.0,Tommie Harris,DT,Oklahoma,295.0,4.78,,29.0,,,,74.0,True
1022,2004.0,Curtis DeLoatch,CB,North Carolina A&T,214.0,4.5,35.5,10.0,120.0,6.97,4.42,74.0,False
1023,2004.0,B.J. Sander,P,Ohio State,219.0,4.84,,,,,,76.0,False
1024,2004.0,Andy Lee,P,Pittsburgh,207.0,5.0,,,,,,73.0,True
1025,2004.0,Kyle Larson,P,Nebraska,204.0,4.86,,,,,,73.0,False
1026,2004.0,Donnie Jones,P,LSU,222.0,4.88,,,,,,75.0,False
1027,2005.0,Tony Curtis,TE,Portland State,269.0,4.93,,21.0,115.0,,,77.0,False
1028,2005.0,Mark Bradley,WR,Oklahoma,201.0,4.37,39.5,,128.0,6.96,3.98,73.0,False
1029,2005.0,Brock Berlin,QB,Miami (FL),221.0,4.83,29.0,,109.0,7.49,4.54,73.0,False
1030,2005.0,Joe Berger,OT,Michigan Tech,303.0,5.18,27.0,30.0,96.0,7.77,4.62,77.0,False
1031,2005.0,Adam Bergen,TE,Lehigh,265.0,4.78,38.0,25.0,121.0,7.11,4.1,76.0,False
1032,2005.0,Cedric Benson,RB,Texas,222.0,4.62,,,,,,70.0,False
1033,2005.0,Alex Barron,OT,Florida State,320.0,4.87,35.5,,112.0,7.83,4.56,79.0,False
1034,2005.0,Khalif Barnes,OT,Washington,305.0,4.92,35.0,26.0,106.0,7.57,4.54,78.0,False
1035,2005.0,Marion Barber,RB,Minnesota,221.0,4.49,40.0,20.0,127.0,,,71.0,True
1036,2005.0,Billy Bajema,TE,Oklahoma State,261.0,4.74,31.5,16.0,113.0,7.05,4.25,77.0,False
1037,2005.0,J.J. Arrington,RB,California,214.0,4.4,35.0,18.0,121.0,6.81,4.1,69.0,False
1038,2005.0,Derek Anderson,QB,Oregon State,242.0,5.03,29.0,,103.0,7.67,4.62,78.0,True
1039,2005.0,Anthony Alabi,OT,TCU,310.0,5.12,32.5,18.0,105.0,7.62,4.6,77.0,False
1040,2005.0,Alvin Pearman,RB,Virginia,208.0,4.63,34.0,24.0,114.0,7.06,4.08,69.0,False
1041,2005.0,Erik Pears,OT,Colorado State,312.0,5.12,,,,,,80.0,False
1042,2005.0,Wesley Britt,OT,Alabama,314.0,5.2,,24.0,,,,80.0,False
1043,2005.0,Nehemiah Broughton,RB,Citadel,250.0,4.59,30.0,25.0,108.0,7.54,4.28,71.0,False
1044,2005.0,Airese Currie,WR,Clemson,186.0,4.49,38.0,,125.0,7.05,4.07,70.0,False
1045,2005.0,Junius Coston,C,North Carolina A&T,310.0,5.31,29.5,21.0,102.0,7.93,4.56,75.0,False
1046,2005.0,Dan Connolly,OT,Southeast Missouri,311.0,5.19,28.5,22.0,108.0,7.65,4.54,76.0,False
1047,2005.0,Jerome Collins,TE,Notre Dame,267.0,4.71,,21.0,118.0,,,76.0,False
1048,2005.0,DeAndra Cobb,RB,Michigan State,196.0,4.49,34.0,17.0,118.0,7.13,4.25,70.0,False
1049,2005.0,Mark Clayton,WR,Oklahoma,193.0,4.41,36.5,,118.0,6.95,4.07,70.0,False
1050,2005.0,Jason Campbell,QB,Auburn,230.0,4.71,,,,,,77.0,False
1051,2005.0,Ronnie Brown,RB,Auburn,233.0,4.43,34.0,18.0,117.0,7.1,4.08,72.0,True
1052,2005.0,Reggie Brown,WR,Georgia,196.0,4.45,41.5,,128.0,6.99,3.94,74.0,False
1053,2005.0,Jason Brown,C,North Carolina,313.0,5.4,30.5,23.0,105.0,7.72,4.51,75.0,False
1054,2005.0,Jammal Brown,OT,Oklahoma,316.0,5.06,31.5,,109.0,7.93,4.67,78.0,True
1055,2005.0,Tab Perry,WR,UCLA,229.0,4.46,34.0,,116.0,7.0,,74.0,False
1056,2005.0,Rob Petitti,OT,Pittsburgh,347.0,5.48,,,,,,78.0,False
1057,2005.0,David Stewart,OT,Mississippi State,314.0,5.25,,24.0,,,,78.0,False
1058,2005.0,Adam Terry,OT,Syracuse,330.0,5.4,28.0,,96.0,7.89,4.78,80.0,False
1059,2005.0,Craphonso Thorpe,WR,Florida State,188.0,4.38,,,,,,73.0,False
1060,2005.0,Andrew Walter,QB,Arizona State,233.0,4.86,,,,,,78.0,False
1061,2005.0,Paris Warren,WR,Utah,219.0,4.71,31.5,,,,,72.0,False
1062,2005.0,Roddy White,WR,Alabama-Birmingham,207.0,4.46,,,,,,73.0,True
1063,2005.0,Ben Wilkerson,C,LSU,299.0,5.46,,,,,,75.0,False
1064,2005.0,Cadillac Williams,RB,Auburn,217.0,4.43,35.5,19.0,118.0,6.94,4.15,71.0,False
1065,2005.0,Mike Williams,WR,Southern California,229.0,4.56,36.5,,,,,77.0,False
1066,2005.0,Troy Williamson,WR,South Carolina,203.0,4.32,,,,6.99,,73.0,False
1067,2005.0,Darren Sproles,RB,Kansas State,187.0,4.47,33.0,23.0,105.0,6.96,3.96,66.0,True
1068,2005.0,Chris Spencer,C,Mississippi,309.0,5.21,32.0,26.0,105.0,8.06,4.59,75.0,False
1069,2005.0,Alex Smith,TE,Stanford,258.0,4.88,,28.0,,,,76.0,True
1070,2005.0,Duke Preston,C,Illinois,311.0,,32.0,21.0,96.0,7.57,4.45,77.0,False
1071,2005.0,Jamaica Rector,WR,Northwest Missouri State,186.0,4.47,36.5,,122.0,6.78,4.13,70.0,False
1072,2005.0,Courtney Roby,WR,Indiana,189.0,4.41,36.5,,126.0,6.6,3.94,72.0,False
1073,2005.0,Aaron Rodgers,QB,California,223.0,4.71,34.5,,110.0,7.38,,74.0,True
1074,2005.0,Michael Roos,OT,Eastern Washington,320.0,5.3,29.0,19.0,97.0,7.72,4.5,79.0,True
1075,2005.0,Bo Scaife,TE,Texas,249.0,4.75,32.5,24.0,114.0,7.21,4.12,75.0,False
1076,2005.0,Eric Shelton,RB,Louisville,246.0,4.53,38.5,,124.0,7.44,4.08,73.0,False
1078,2005.0,Wes Sims,OT,Oklahoma,318.0,5.39,28.0,26.0,108.0,7.68,4.43,77.0,False
1079,2005.0,Alex Smith,QB,Utah,217.0,4.71,32.0,,113.0,6.82,3.96,76.0,True
1080,2005.0,Ray Willis,OT,Florida State,327.0,5.18,,27.0,,,,78.0,False
1081,2005.0,Harvey Dahl,OT,Nevada,299.0,5.42,27.0,17.0,99.0,8.15,4.58,78.0,False
1082,2005.0,Roscoe Parrish,WR,Miami (FL),168.0,4.37,,,,,,70.0,False
1083,2005.0,Rasheed Marshall,WR,West Virginia,185.0,4.51,38.0,,121.0,6.81,3.95,72.0,False
1084,2005.0,Daniel Loper,OT,Texas Tech,306.0,5.3,32.0,14.0,101.0,7.74,4.68,78.0,False
1085,2005.0,Nick Kaczur,OT,Toledo,319.0,5.28,31.5,,,,,76.0,False
1086,2005.0,Keith Joseph,FB,Texas A&M,254.0,4.68,33.0,27.0,113.0,7.43,4.2,74.0,False
1087,2005.0,Matt Jones,TE,Arkansas,242.0,4.37,39.5,,129.0,,,78.0,False
1088,2005.0,Brandon Jones,WR,Oklahoma,210.0,4.42,37.0,,114.0,7.03,4.08,73.0,False
1089,2005.0,Brandon Jacobs,RB,Southern Illinois,267.0,4.56,37.0,19.0,118.0,7.53,4.46,76.0,False
1090,2005.0,Vincent Jackson,WR,Northern Colorado,241.0,4.46,39.0,,,,,77.0,True
1091,2005.0,Jerome Mathis,WR,Hampton,181.0,4.28,35.5,,123.0,,,71.0,True
1092,2005.0,Leron McCoy,WR,Indiana (PA),211.0,4.4,37.0,,120.0,7.19,4.21,73.0,False
1093,2005.0,Chad Owens,WR,Hawaii,183.0,4.62,37.0,,116.0,6.7,3.94,67.0,False
1094,2005.0,Kyle Orton,QB,Purdue,233.0,5.06,26.5,,,7.38,4.52,76.0,False
1095,2005.0,Dan Orlovsky,QB,Connecticut,225.0,4.93,29.5,,107.0,7.33,4.39,77.0,False
1096,2005.0,Frank Omiyale,OT,Tennessee Tech,310.0,5.3,29.5,22.0,101.0,8.19,4.72,76.0,False
1097,2005.0,Terrence Murphy,WR,Texas A&M,202.0,4.39,,,,,,73.0,False
1098,2005.0,Scott Mruczkowski,C,Bowling Green,321.0,5.29,,28.0,,,,76.0,False
1099,2005.0,Vernand Morency,RB,Oklahoma State,212.0,4.66,33.5,19.0,108.0,7.02,4.12,70.0,False
1100,2005.0,Lance Moore,WR,Toledo,177.0,4.52,,,,,,69.0,False
1101,2005.0,Ryan Moats,RB,Louisiana Tech,210.0,4.46,36.0,19.0,117.0,7.22,4.1,68.0,False
1102,2005.0,Heath Miller,TE,Virginia,256.0,4.79,,,,,,77.0,True
1103,2005.0,Richie Incognito,C,Nebraska,305.0,4.84,,29.0,,,,75.0,True
1104,2005.0,Eric Ghiaciuc,C,Central Michigan,302.0,5.09,32.0,30.0,105.0,7.87,4.56,76.0,False
1105,2005.0,Justin Geisinger,OT,Vanderbilt,322.0,5.38,25.0,34.0,95.0,7.87,4.62,76.0,False
1106,2005.0,Lionel Gates,RB,Louisville,222.0,4.6,36.0,23.0,121.0,7.17,4.1,72.0,False
1107,2005.0,Charlie Frye,QB,Akron,225.0,4.79,33.0,,113.0,6.94,4.08,76.0,False
1108,2005.0,Ryan Fitzpatrick,QB,Harvard,232.0,4.86,30.5,,105.0,7.09,4.07,74.0,False
1109,2005.0,Ciatrick Fason,RB,Florida,207.0,4.58,,,,,,73.0,False
1110,2005.0,Kevin Everett,TE,Miami (FL),241.0,4.72,,,,,,77.0,False
1111,2005.0,Trai Essex,OT,Northwestern,324.0,5.61,29.0,,96.0,8.11,4.92,76.0,False
1112,2005.0,Braylon Edwards,WR,Michigan,211.0,4.45,,,,,,75.0,True
1113,2005.0,Kevin Dudley,FB,Michigan,238.0,4.91,30.0,19.0,109.0,7.25,4.56,72.0,False
1114,2005.0,Joel Dreessen,TE,Colorado State,260.0,4.72,36.0,22.0,113.0,7.09,4.01,76.0,False
1115,2005.0,Frank Gore,RB,Miami (FL),217.0,4.58,,,,,,69.0,True
1116,2005.0,Ryan Grant,RB,Notre Dame,215.0,4.43,33.5,17.0,115.0,7.08,4.12,73.0,False
1117,2005.0,Justin Green,FB,Montana,251.0,4.84,31.0,23.0,109.0,7.24,4.21,71.0,False
1118,2005.0,Cedric Houston,RB,Tennessee,225.0,4.61,,,,,,71.0,False
